Date,Stader-TVL-total,market_cap
2023-08-05,124880459.1,22390462.695757035
2023-08-06,126089397.7,22444879.698514976
2023-08-07,127645775.6,22373951.52442042
2023-08-08,129409773.6,22411070.33331821
2023-08-09,136412427.8,21920066.331359643
2023-08-10,134760401.6,21676470.10735936
2023-08-11,133370348,21593445.111016404
2023-08-12,132213701.7,21544429.59269488
2023-08-13,132033540,21537663.74795966
2023-08-14,133402661.9,21544339.798303388
2023-08-15,136219942,21556658.31328287
2023-08-16,131632622.2,21589815.75400554
2023-08-17,127309894.3,21706990.364185583
2023-08-18,117488238.5,20698617.85248172
2023-08-19,124572008,20049588.41214592
2023-08-20,126393993.5,19701551.92625207
2023-08-21,123972004.5,19124961.399792656
2023-08-22,122755738.2,19169173.02444238
2023-08-23,122632833.8,18932083.571177635
2023-08-24,126871532.1,19525703.7006153
2023-08-25,124128261,19869365.75168039
2023-08-26,120842236.1,19813064.35567236
2023-08-27,120511106.7,19832521.45320919
2023-08-28,122458836.4,19291611.95153524
2023-08-29,121827860.8,19598768.077782013
2023-08-30,126516982.7,19329597.715589248
2023-08-31,122761067.1,19250997.88020847
2023-09-01,117781586.3,19067880.79536952
2023-09-02,117387445.7,18333073.930399623
2023-09-03,117154099.9,18405903.469699662
2023-09-04,117459542,18058397.413340405
2023-09-05,118632677.9,17813853.343154907
2023-09-06,119568922.8,17676626.97644753
2023-09-07,119212171,17881603.03840271
2023-09-08,122035631.7,18128024.77525524
2023-09-09,122886120.6,18246569.693927944
2023-09-10,122915060.3,18282826.60754177
2023-09-11,120373719.9,18261080.32261185
2023-09-12,115999540.1,17808062.99743532
2023-09-13,117446866.3,17672758.961811166
2023-09-14,121853319.9,17560960.238141377
2023-09-15,122267729.6,17455260.418744102
2023-09-16,123605339,17581605.927270927
2023-09-17,122357014,17392450.578972653
2023-09-18,120342471,17333255.908699658
2023-09-19,122445901.4,17343338.646323163
2023-09-20,125000299.8,17317412.112301514
2023-09-21,124491504.2,17339185.57064829
2023-09-22,121089855.8,17795272.57599981
2023-09-23,122264307.8,17750797.011341035
2023-09-24,123614034,17637096.39560034
2023-09-25,121331639.4,17601010.018856827
2023-09-26,122821456,17804110.694798596
2023-09-27,121570146.7,17542174.6800507
2023-09-28,120992689.3,17240091.68863658
2023-09-29,123878414.1,17181229.22310441
2023-09-30,124330076.6,17071941.206715457
2023-10-01,125473686.5,17347393.009663418
2023-10-02,129539789.5,17298471.771063704
2023-10-03,126612152.2,17593740.26424509
2023-10-04,125350099.1,17324015.267028492
2023-10-05,126750658.9,17169686.16993528
2023-10-06,124547350.6,15372607.850219063
2023-10-07,127627059.9,18545044.873664383
2023-10-08,127375804.6,18760585.25989717
2023-10-09,126259433.9,18503141.80935416
2023-10-10,121455127.5,18286633.938941725
2023-10-11,119561058.7,18201297.47095731
2023-10-12,119572442.9,18196970.05741997
2023-10-13,117788460.8,17986615.172961757
2023-10-14,119971786.2,18046737.533777338
2023-10-15,121009036,18075456.609761503
2023-10-16,121378414.1,17863002.929385677
2023-10-17,125367356.4,17791168.162975337
2023-10-18,123175623.2,17592901.13481821
2023-10-19,122250089.9,17579192.82977376
2023-10-20,122542539.1,17537295.37134077
2023-10-21,127162119.9,17298781.631654743
2023-10-22,132282791.1,17188669.563747723
2023-10-23,137942396.5,17216605.3838977
2023-10-24,143345621.3,17586376.34999893
2023-10-25,143911490.4,18122213.56048917
2023-10-26,145793922.3,18603739.93021309
2023-10-27,147472266.5,19536550.18167764
2023-10-28,149522844.7,19732188.561402533
2023-10-29,175807408.8,19726996.67900604
2023-10-30,179058443.3,21030216.974523105
2023-10-31,182085782.1,21424972.321826715
2023-11-01,180253105.3,21471173.68979878
2023-11-02,185713796.5,21440825.03713852
2023-11-03,184989122.1,21940702.05222649
2023-11-04,189293918.2,21642541.122637384
2023-11-05,197717539.7,21407052.12429957
2023-11-06,198546239.1,21382558.00674785
2023-11-07,202258165.6,22281822.54304848
2023-11-08,202876959.9,22438484.96245265
2023-11-09,207812252.7,22428071.66476259
2023-11-10,222151895,23732529.06810473
2023-11-11,222471596.8,26152304.763166223
2023-11-12,214682557.3,27140729.455328967
